Método;Entrada;Tempo;Execução
QUICKSORT;d1000;1.6146e-05;3
HEAPSORT;d1000;0.000109658;3
MERGESORT;d10000;0.00062932;3
QUICKSORT;d10000;0.000177995;3
HEAPSORT;d10000;0.00145239;3
MERGESORT;d100000;0.00616525;3
QUICKSORT;d100000;0.00220415;3
HEAPSORT;d100000;0.0174837;3
MERGESORT;d1000000;0.0702049;3
QUICKSORT;d1000000;0.0191036;3
HEAPSORT;d1000000;0.205164;3
MERGESORT;d1250000;0.0872427;3
QUICKSORT;d1250000;0.0248383;3
HEAPSORT;d1250000;0.249699;3
MERGESORT;d15000;0.000921703;3
QUICKSORT;d15000;0.000366017;3
HEAPSORT;d15000;0.00228614;3
MERGESORT;d1500000;0.103043;3
QUICKSORT;d1500000;0.0296703;3
HEAPSORT;d1500000;0.30402;3
MERGESORT;d200;1.0349e-05;3
QUICKSORT;d200;3.412e-06;3
HEAPSORT;d200;1.5507e-05;3
MERGESORT;d2000;0.000110107;3
QUICKSORT;d2000;3.7232e-05;3
HEAPSORT;d2000;0.00024659;3
MERGESORT;d200000;0.0130329;3
QUICKSORT;d200000;0.00422097;3
HEAPSORT;d200000;0.0372487;3
MERGESORT;d2000000;0.139633;3
QUICKSORT;d2000000;0.0381078;3
HEAPSORT;d2000000;0.410507;3
MERGESORT;d30000;0.00182584;3
QUICKSORT;d30000;0.000694788;3
HEAPSORT;d30000;0.00724457;3
MERGESORT;d500;2.4429e-05;3
QUICKSORT;d500;8.126e-06;3
HEAPSORT;d500;4.7841e-05;3
MERGESORT;d5000;0.000317754;3
QUICKSORT;d5000;8.5928e-05;3
HEAPSORT;d5000;0.000646302;3
MERGESORT;d50000;0.00306872;3
QUICKSORT;d50000;0.00113898;3
HEAPSORT;d50000;0.0086901;3
MERGESORT;d500000;0.0333288;3
QUICKSORT;d500000;0.0087642;3
HEAPSORT;d500000;0.0959363;3
MERGESORT;d7500;0.000428141;3
QUICKSORT;d7500;0.000163125;3
HEAPSORT;d7500;0.00107143;3
MERGESORT;d75000;0.00475369;3
QUICKSORT;d75000;0.00155397;3
HEAPSORT;d75000;0.0126484;3
MERGESORT;d750000;0.0512393;3
QUICKSORT;d750000;0.0153945;3
HEAPSORT;d750000;0.147927;3
MERGESORT;o100;5.337e-06;3
QUICKSORT;o100;1.948e-06;3
HEAPSORT;o100;7.592e-06;3
MERGESORT;o1000;4.77e-05;3
QUICKSORT;o1000;1.6504e-05;3
HEAPSORT;o1000;0.000114849;3
MERGESORT;o10000;0.000538553;3
QUICKSORT;o10000;0.000243497;3
HEAPSORT;o10000;0.00151597;3
MERGESORT;o100000;0.00598188;3
QUICKSORT;o100000;0.00208964;3
HEAPSORT;o100000;0.0186481;3
MERGESORT;o1000000;0.067247;3
QUICKSORT;o1000000;0.0176509;3
HEAPSORT;o1000000;0.182045;3
MERGESORT;o1250000;0.0862589;3
QUICKSORT;o1250000;0.0243223;3
HEAPSORT;o1250000;0.233238;3
MERGESORT;o15000;0.000870067;3
QUICKSORT;o15000;0.000369041;3
HEAPSORT;o15000;0.00235199;3
MERGESORT;o1500000;0.102718;3
QUICKSORT;o1500000;0.0306558;3
HEAPSORT;o1500000;0.279255;3
MERGESORT;o200;1.0156e-05;3
QUICKSORT;o200;3.246e-06;3
HEAPSORT;o200;1.7259e-05;3
MERGESORT;o2000;9.3485e-05;3
QUICKSORT;o2000;3.5165e-05;3
HEAPSORT;o2000;0.00025335;3
MERGESORT;o200000;0.013249;3
QUICKSORT;o200000;0.00329651;3
HEAPSORT;o200000;0.0351435;3
MERGESORT;o2000000;0.136424;3
QUICKSORT;o2000000;0.0392096;3
HEAPSORT;o2000000;0.38164;3
MERGESORT;o30000;0.0016005;3
QUICKSORT;o30000;0.000741451;3
HEAPSORT;o30000;0.00479529;3
MERGESORT;o500;2.4871e-05;3
QUICKSORT;o500;8.123e-06;3
HEAPSORT;o500;5.2771e-05;3
MERGESORT;o5000;0.000262392;3
QUICKSORT;o5000;0.000108367;3
HEAPSORT;o5000;0.000770328;3
MERGESORT;o50000;0.00293699;3
QUICKSORT;o50000;0.00110886;3
HEAPSORT;o50000;0.00855839;3
MERGESORT;o500000;0.0331326;3
QUICKSORT;o500000;0.00962706;3
HEAPSORT;o500000;0.0899665;3
MERGESORT;o7500;0.000391087;3
QUICKSORT;o7500;0.000178885;3
HEAPSORT;o7500;0.00109576;3
MERGESORT;o75000;0.00453658;3
QUICKSORT;o75000;0.00169133;3
HEAPSORT;o75000;0.0139916;3
MERGESORT;o750000;0.0492975;3
QUICKSORT;o750000;0.014513;3
HEAPSORT;o750000;0.134304;3
MERGESORT;po100;8.051e-06;3
QUICKSORT;po100;4.254e-06;3
HEAPSORT;po100;8.006e-06;3
MERGESORT;po1000;5.4317e-05;3
QUICKSORT;po1000;2.0093e-05;3
HEAPSORT;po1000;0.000115834;3
MERGESORT;po10000;0.000549518;3
QUICKSORT;po10000;0.000213301;3
HEAPSORT;po10000;0.00152347;3
MERGESORT;po100000;0.00591067;3
QUICKSORT;po100000;0.00213149;3
HEAPSORT;po100000;0.0177151;3
MERGESORT;po1000000;0.069227;3
QUICKSORT;po1000000;0.0201459;3
HEAPSORT;po1000000;0.184907;3
MERGESORT;po1250000;0.0868585;3
QUICKSORT;po1250000;0.0240717;3
HEAPSORT;po1250000;0.229532;3
MERGESORT;po15000;0.000800131;3
QUICKSORT;po15000;0.000408719;3
HEAPSORT;po15000;0.00245346;3
MERGESORT;po1500000;0.103385;3
QUICKSORT;po1500000;0.027665;3
HEAPSORT;po1500000;0.279995;3
MERGESORT;po200;1.7255e-05;3
QUICKSORT;po200;5.239e-06;3
HEAPSORT;po200;1.8354e-05;3
MERGESORT;po2000;0.000109556;3
QUICKSORT;po2000;4.0267e-05;3
HEAPSORT;po2000;0.000262072;3
MERGESORT;po200000;0.0136368;3
QUICKSORT;po200000;0.00379601;3
HEAPSORT;po200000;0.0363578;3
MERGESORT;po2000000;0.138967;3
QUICKSORT;po2000000;0.0398085;3
HEAPSORT;po2000000;0.380735;3
MERGESORT;po30000;0.00170782;3
QUICKSORT;po30000;0.000722853;3
HEAPSORT;po30000;0.00486937;3
